from_node_id,to_node_id,relation_name,leftNodeActive,year,day
5023,5133,FROM,True,2021-12-26,2021-11-28
4725,5120,FROM,True,2022-01-04,2022-10-26
4855,5138,FROM,True,2023-08-07,2022-10-30
4963,5092,FROM,True,2021-07-02,2021-01-08
4993,5084,FROM,False,2020-09-01,2023-03-17
4927,5103,FROM,True,2022-03-26,2020-09-05
4860,5135,FROM,True,2020-01-03,2021-06-29
4727,5111,FROM,True,2020-06-03,2020-05-21
4705,5134,FROM,True,2023-05-04,2023-10-02
4878,5117,FROM,False,2022-10-06,2020-02-07
4912,5067,FROM,False,2022-05-19,2021-06-15
5045,5084,FROM,True,2020-02-08,2020-07-13
4976,5074,FROM,False,2021-02-18,2021-10-05
5047,5111,FROM,True,2022-08-24,2023-05-27
4809,5083,FROM,False,2021-08-05,2023-02-27
4773,5095,FROM,True,2020-03-26,2021-10-23
4777,5053,FROM,True,2020-09-22,2022-10-31
4957,5100,FROM,False,2021-11-13,2023-02-08
4780,5079,FROM,False,2023-04-24,2021-11-11
4771,5111,FROM,False,2022-01-13,2020-07-09
5016,5143,FROM,True,2020-11-14,2022-02-25
4938,5143,FROM,False,2020-11-12,2022-06-17
4706,5065,FROM,False,2021-09-19,2020-08-23
4947,5142,FROM,True,2020-05-19,2022-12-18
4885,5125,FROM,False,2021-09-22,2020-11-09
4966,5130,FROM,False,2021-05-31,2022-05-23
4998,5128,FROM,False,2022-11-28,2020-04-10
4847,5115,FROM,False,2022-07-31,2020-12-03
4805,5052,FROM,False,2022-02-14,2022-01-14
5000,5102,FROM,True,2022-08-22,2021-06-08
4777,5140,FROM,False,2020-03-12,2023-10-05
4802,5113,FROM,False,2022-04-04,2020-02-04
4873,5127,FROM,True,2020-08-09,2022-12-20
4861,5145,FROM,False,2023-08-13,2020-10-09
4760,5082,FROM,False,2023-08-01,2022-01-27
4786,5058,FROM,False,2021-05-09,2021-07-29
4918,5054,FROM,True,2020-02-11,2020-08-20
4857,5142,FROM,False,2020-02-23,2021-10-22
5017,5072,FROM,True,2022-07-17,2023-09-30
4760,5147,FROM,False,2022-07-07,2020-03-19
4865,5148,FROM,True,2023-02-16,2022-05-30
4927,5139,FROM,True,2021-02-06,2023-03-24
4722,5125,FROM,True,2022-06-13,2020-03-08
5037,5116,FROM,True,2020-05-22,2020-01-13
4765,5071,FROM,True,2021-04-02,2023-02-27
4715,5105,FROM,True,2022-12-28,2022-02-24
4821,5091,FROM,True,2022-03-28,2020-05-08
5025,5119,FROM,True,2021-09-20,2020-08-14
4829,5086,FROM,True,2023-09-14,2021-04-18
4795,5052,FROM,False,2022-11-04,2020-01-21
4802,5126,FROM,False,2023-08-03,2023-03-25
4865,5118,FROM,False,2021-02-07,2020-02-27
4854,5131,FROM,False,2021-11-13,2022-02-06
4759,5069,FROM,True,2020-09-27,2022-06-22
4881,5073,FROM,True,2020-08-18,2020-04-21
4831,5122,FROM,False,2020-08-25,2020-06-06
4853,5114,FROM,False,2022-10-27,2021-12-25
4800,5086,FROM,True,2021-03-26,2022-08-06
4919,5092,FROM,True,2023-10-08,2023-08-30
4963,5138,FROM,True,2021-05-10,2023-03-02
4874,5091,FROM,False,2021-07-08,2021-07-18
4902,5150,FROM,True,2023-08-20,2023-04-26
5007,5099,FROM,False,2021-09-16,2020-09-01
4877,5055,FROM,False,2021-04-25,2020-06-16
4908,5086,FROM,False,2021-04-24,2023-07-17
4927,5113,FROM,False,2023-01-05,2020-10-07
4797,5145,FROM,True,2021-12-08,2022-07-06
4816,5109,FROM,True,2020-08-22,2020-11-19
4961,5135,FROM,False,2023-02-03,2020-12-08
4712,5066,FROM,True,2021-09-25,2023-01-11
4724,5141,FROM,True,2022-01-30,2020-08-27
4705,5125,FROM,False,2021-11-17,2022-07-03
4783,5118,FROM,True,2020-12-26,2020-11-20
4969,5088,FROM,False,2023-02-21,2022-04-30
4804,5086,FROM,False,2021-05-12,2023-09-19
4831,5082,FROM,False,2022-07-20,2020-12-10
4967,5094,FROM,True,2020-12-31,2023-01-30
5025,5086,FROM,True,2021-07-28,2020-03-30
5042,5146,FROM,False,2022-01-14,2022-08-06
4980,5053,FROM,True,2022-10-26,2020-04-01
4850,5083,FROM,False,2021-07-21,2022-09-07
5000,5051,FROM,True,2022-09-09,2022-07-30
4702,5101,FROM,True,2022-12-30,2023-03-13
4728,5121,FROM,False,2023-02-25,2022-03-25
4746,5072,FROM,False,2021-05-28,2023-05-09
5032,5126,FROM,False,2023-04-20,2021-12-19
4766,5063,FROM,False,2021-05-04,2021-05-03
4775,5137,FROM,True,2022-06-29,2022-08-09
4802,5097,FROM,True,2021-11-28,2020-02-20
4715,5054,FROM,False,2021-10-07,2020-11-22
4795,5058,FROM,True,2023-03-12,2020-07-27
4790,5075,FROM,False,2021-06-19,2020-10-05
4963,5116,FROM,True,2020-05-21,2023-03-02
4905,5123,FROM,False,2023-02-28,2020-10-13
5030,5083,FROM,True,2022-08-25,2023-12-14
4839,5137,FROM,False,2022-03-17,2021-02-04
4839,5116,FROM,True,2021-06-22,2022-02-22
4951,5137,FROM,False,2021-04-08,2022-12-17
4778,5119,FROM,False,2020-11-20,2021-10-16
4794,5103,FROM,False,2022-12-18,2020-07-21
