from_node_id,to_node_id,relation_name,time_stamp,writter_is_active,is_pinned
4367,3758,BELONGS_TO,2021-04-28 05:38:15,False,True
4687,3672,BELONGS_TO,2022-04-24 16:47:39,True,True
4484,3137,BELONGS_TO,2021-09-27 13:36:27,True,True
4580,3966,BELONGS_TO,2023-02-18 06:02:52,False,False
4086,3142,BELONGS_TO,2020-12-10 07:54:33,False,True
4115,3800,BELONGS_TO,2021-06-11 00:48:37,True,True
4003,3867,BELONGS_TO,2022-06-14 06:09:46,True,False
4483,3434,BELONGS_TO,2022-08-30 19:44:06,False,False
4220,3711,BELONGS_TO,2022-01-10 12:09:07,True,False
4057,3808,BELONGS_TO,2020-02-10 12:22:25,True,True
4110,3177,BELONGS_TO,2023-07-11 16:05:12,True,True
4431,3971,BELONGS_TO,2021-01-30 22:04:37,False,False
4043,3275,BELONGS_TO,2023-01-09 06:54:11,True,True
4377,3808,BELONGS_TO,2021-01-15 09:51:16,True,True
4100,3553,BELONGS_TO,2022-07-06 08:02:18,True,False
4018,3754,BELONGS_TO,2021-02-26 20:48:24,False,False
4069,3503,BELONGS_TO,2023-06-14 08:23:58,False,True
4667,3146,BELONGS_TO,2020-04-13 01:40:33,False,False
4083,3758,BELONGS_TO,2020-04-09 17:46:17,False,True
4172,3660,BELONGS_TO,2022-03-13 22:08:51,False,True
4562,3154,BELONGS_TO,2021-12-31 01:08:52,True,False
4182,3916,BELONGS_TO,2020-03-23 22:32:02,True,False
4328,3892,BELONGS_TO,2022-04-10 19:52:25,False,True
4102,3510,BELONGS_TO,2021-10-01 19:45:17,False,False
4183,3048,BELONGS_TO,2023-08-23 13:13:36,False,True
4546,3256,BELONGS_TO,2021-11-22 10:29:39,False,True
4468,3804,BELONGS_TO,2023-10-01 20:19:25,True,True
4482,3402,BELONGS_TO,2023-11-25 02:27:45,True,True
4434,3631,BELONGS_TO,2021-01-01 14:27:46,True,True
4698,3640,BELONGS_TO,2022-01-20 08:35:22,False,True
4044,3167,BELONGS_TO,2023-11-07 08:28:17,False,True
4167,3326,BELONGS_TO,2022-06-19 04:11:45,False,True
4487,3164,BELONGS_TO,2021-05-12 13:18:58,False,True
4058,3714,BELONGS_TO,2020-05-01 00:44:24,False,False
4327,3146,BELONGS_TO,2020-04-12 11:39:29,False,True
